"";"sentence";"sentiment";"prep_standard";"prep_full";"prep_masked"
506;"The acquisition is part of Suomen Helasto 's strategy to expand the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said .";1;"acquisition suomen helasto strategy expand lukkoexpert security chain suomen helasto ceo kimmo uusimaki say";"acquisition suomen helasto strategy expand lukkoexpert security chain suomen helasto ceo kimmo uusimaki say";"acquisition suomen helasto strategy expand lukkoexpert security chain suomen helasto ceo kimmo uusimaki say"
507;"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts .";1;"broad wig index thursday session 0 1 pct up 65 003 34 pt blue chip wig20 1 13 down 3 687 15 pt";"broad-based wig index thursday session 0.1pct up 65003.34 pt blue-chip wig20 1.13 down 3687.15 pt";"broad-based wig index thursday session [PERCENT] up [NUMBER] pt blue-chip wig20 [NUMBER] down [NUMBER] pt"
508;"The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .";1;"business divest generates consolidated net sale eur 60 million annually currently 640 employee";"business divest generates consolidated net sale eur60mn annually currently 640 employee";"business divest generates consolidated net sale [MONEY] annually currently [NUMBER] employee"
509;"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .";1;"generate net sale 600 mln euro 775 5 mln annually employ 6 000";"generate net sale eur600mn usd775.5mn annually employ 6000";"generate net sale [MONEY] [MONEY] annually employ [NUMBER]"
510;"The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .";2;"plan expand international market subsidiary distributor 2011 onwards";"plan expand international market subsidiary distributor 2011 onwards";"plan expand international market subsidiary distributor [DATE] onwards"
511;"The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .";1;"plan spend proceeds right offering strengthen balance sheet";"plan spend proceeds right offering strengthen balance sheet";"plan spend proceeds right offering strengthen balance sheet"
512;"The contract covers the manufacturing , surface-treatment and installation of the steel structures .";1;"contract cover manufacture surface treatment installation steel structure";"contract cover manufacture surface-treatment installation steel structure";"contract cover manufacture surface-treatment installation steel structure"
513;"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today .";1;"corresponding increase share capital eur422 754 enter trade register";"corresponding increase share capital eur422 754 enter trade register";"corresponding increase share capital [MONEY] [NUMBER] enter trade register"
514;"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .";1;"corresponding increase share capital total eur 300 00 register trade register may 8 2008";"corresponding increase share capital total eur30000 register trade register 2008-2005-08";"corresponding increase share capital total [MONEY] register trade register [DATE] [DATE] [NUMBER]"
515;"The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was registered with the Finnish Trade Register on January 4 , 2008 .";1;"corresponding increase share capital due subscription warrant total eur 1 860 74 register trade register january 4 2008";"corresponding increase share capital due subscription warrant total eur1860.74 register trade register 2008-2001-04";"corresponding increase share capital due subscription warrant total [MONEY] register trade register [DATE] [DATE] [NUMBER]"
516;"The corresponding share capital increase , EUR 1,012,945.50 was entered in the Trade Register today .";1;"corresponding share capital increase eur 1 012 945 50 enter trade register";"corresponding share capital increase eur1012945.50 enter trade register";"corresponding share capital increase [MONEY] enter trade register"
517;"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .";2;"decision sell share lenenergo reach line fortum strategic plan invest mainly generate asset russia lenenergo grid press release say";"decision sell share lenenergo reach line fortum strategic plan invest mainly generate asset russia lenenergo grid press release say";"decision sell share lenenergo reach line fortum strategic plan invest mainly generate asset russia lenenergo grid press release say"
518;"The equipment will expand container handling capacity at Namibia 's main port of Walvis Bay , on the west coast .";2;"equipment expand container handle capacity namibia main port walvis bay west coast";"equipment expand container handle capacity namibia main port walvis bay west coast";"equipment expand container handle capacity namibia main port walvis bay west coast"
519;"The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .";2;"expansion doubling floor space addition more lifting capacity production equipment";"expansion doubling floor space addition more lifting capacity production equipment";"expansion doubling floor space addition more lifting capacity production equipment"
520;"The Group aims to increase its net sales and comparable operating profit in 2006 .";2;"aim increase net sale comparable operating profit 2006";"aim increase net sale comparable operating profit 2006";"aim increase net sale comparable operating profit [DATE]"
521;"The order also includes start-up and commissioning services .";1;"order start up commission service";"order start-up commissioning service";"order start-up commissioning service"
522;"The order consists of capacity expansion , maintenance services and new charging functionality , the company said .";1;"order consist capacity expansion maintenance service new charge functionality say";"order consist capacity expansion maintenance service new charge functionality say";"order consist capacity expansion maintenance service new charge functionality say"
523;"The phones are targeted at first time users in growth markets .";1;"phone target time user growth market";"phone target time user growth market";"phone target time user growth market"
524;"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .";1;"repayment eur 105 million debenture bond relate previous announcement october 21 2009 collect irrevocable sell commitment holder subordinated debenture bond";"repayment eur105mn debenture bond relate previous announcement 2009-2010-21 collect irrevocable sell commitment holder subordinated debenture bond";"repayment [MONEY] debenture bond relate previous announcement [DATE] [DATE] [NUMBER] collect irrevocable sell commitment holder subordinated debenture bond"
525;"The revenues of the business reached NOK 12 million for 2008 .";1;"revenue business reach nok 12 million 2008";"revenue business reach nok 12mn 2008";"revenue business reach nok 12mn [DATE]"
526;"The subscriptions increase Cargotec 's share capital by 36,780 euros .";2;"subscription increase cargotec share capital 36 780 euro";"subscription increase cargotec share capital eur36780";"subscription increase cargotec share capital [MONEY]"
527;"The subscriptions increase Cargotec 's share capital by EUR 27,060 .";2;"subscription increase cargotec share capital eur 27 060";"subscription increase cargotec share capital eur27060";"subscription increase cargotec share capital [MONEY]"
528;"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should double Atria Russia 's production capacity in the St Petersburg area .";2;"total area gorelovo plant 22 000 sq atria invest euro 70mn plant should double atria russia production capacity st petersburg area";"total area gorelovo plant 22000sqm atrium invest eur70mn plant should double atrium russia production capacity st petersburg area";"total area gorelovo plant [MEASUREMENT] atrium invest [MONEY] plant should double atrium russia production capacity st petersburg area"
529;"Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .";1;"tielinja generated net sale 7 5 mln euro 9 6 mln 2005";"tielinja generated net sale eur7.5mn usd9.6mn 2005";"tielinja generated net sale [MONEY] [MONEY] [DATE]"
530;"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .";1;"tikkurila powder coating 50 employee four paint plant generate revenue eur2 4 usd3 3 2010";"tikkurila powder coating 50 employee 4 paint plant generate revenue eurusd2.4m3.3m 2010";"tikkurila powder coating [NUMBER] employee [NUMBER] paint plant generate revenue eurusd2.4m3. [MEASUREMENT] [DATE]"
531;"U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .";1;"u district judge douglas p woodlock yesterday extend jan 17 temporary restrain order march 7";"u district judge douglas p woodlock yesterday extend jan17 temporary restrain order march 7";"u district judge douglas p woodlock yesterday extend jan17 temporary restrain order march [NUMBER]"
532;"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of Elcoteq in the Estonian capital Tallinn .";1;"uk sarantel outsource process elcoteq plant estonia london oct 13 bns british miniature antenna maker sarantel sign agreement outsource assembly test supply chain process plant elcoteq estonian capital tallinn";"uk sarantel outsource process elcoteq plant estonia london oct 13 bns british miniature antenna maker sarantel sign agreement outsource assembly test supply chain process plant elcoteq estonian capital tallinn";"uk sarantel outsource process elcoteq plant estonia london oct [NUMBER] bns british miniature antenna maker sarantel sign agreement outsource assembly test supply chain process plant elcoteq estonian capital tallinn"
533;"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .";1;"rental agreement stockmann commit invest building bridge over gogol street build underground tunnel cross street 2004";"rental agreement stockmann commit invest building bridge over gogol street build underground tunnel cross street 2004";"rental agreement stockmann commit invest building bridge over gogol street build underground tunnel cross street [DATE]"
534;"We have made long-term investments in developing the system 's implementation model .";1;"make long term investment develop system implementation model";"make long-term investment develop system implementation model";"make long-term investment develop system implementation model"
535;"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .";2;"launch new 3g handset aim become winner china 3g market 2g market";"launch new 3g handset aim become winner china 3g market 2g market";"launch new [MEASUREMENT] handset aim become winner china [MEASUREMENT] market [MEASUREMENT] market"
536;"With this subscription , Fortum 's ownership in TGK-10 has increased to slightly over 76 % of shares and voting rights .";1;"subscription fortum ownership tgk 10 increase slightly over 76 share vote right";"subscription fortum ownership tgk-10 increase slightly over 76pct share vote right";"subscription fortum ownership tgk- [NUMBER] increase slightly over [PERCENT] share vote right"
537;"VNH generates annual net sales of about 5 mln eur and employs 21 people .";1;"vnh generate annual net sale 5 mln eur employ 21 people";"vnh generate annual net sale eur5mn employ 21 people";"vnh generate annual net sale [MONEY] employ [NUMBER] people"
538;"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .";2;"earnings share eps 2007 amount eur0 07 up eur0 04";"earnings share eps 2007 amount eur0.07 up eur0.04";"earnings share eps [DATE] amount [MONEY] up [MONEY]"
539;"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .";0;"jan 6 ford struggle face slow truck suv sale surfeit up date gotta car";"jan6 -- ford struggle face slow truck suv sale surfeit up-to-date gotta-have car";"jan6 -- ford struggle face slow truck suv sale surfeit up-to-date gotta-have car"
540;"Rautakesko 's business operations in Norway and Russia , acquired in July 2005 , are included in the figures of the comparable period , impacting sales growth starting from August .";1;"rautakesko business operation norway russia acquire july 2005 figure comparable impact sale growth start august";"rautakesko business operation norway russia acquire 2005:07 figure comparable impact sale growth start august";"rautakesko business operation norway russia acquire [DATE] figure comparable impact sale growth start august"
541;"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .";2;"operating profit eur 11 07 mn up eur 8 65 mn";"operating profit eur11.07mn up eur8.65mn";"operating profit [MONEY] up [MONEY]"
542;"Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .";0;"peer peugeot fell 0 81 pct sale rise only 6 3 pct last";"peer peugeot fell 0.81pct sale rise only 6.3pct last";"peer peugeot fell [PERCENT] sale rise only [PERCENT] last"
543;"Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .";0;"pharmaceutical orion corp report fall third earnings hit large expenditure r marketing";"pharmaceutical orion corp report fall third-quarter earnings hit large expenditure rd marketing";"pharmaceutical orion corp report fall third-quarter earnings hit large expenditure rd marketing"
544;"However , the growth margin slowed down due to the financial crisis .";0;"however growth margin slow down due financial crisis";"however growth margin slow down due financial crisis";"however growth margin slow down due financial crisis"
545;"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .";2;"significance teleste emphasise large size grow economy well rapid development tv service distribution industry poland view attractive market";"significance teleste emphasise large size grow economy well rapid development tv service distribution industry poland view attractive market";"significance teleste emphasise large size grow economy well rapid development tv service distribution industry poland view attractive market"
546;"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .";2;"reach agreement union flight continue normal finnair spokesman usko maatta say";"reach agreement union flight continue normal finnair spokesman usko maatta say";"reach agreement union flight continue normal finnair spokesman usko maatta say"
547;"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .";2;"insurance pohjola motorcyclist association sign agreement aim improve motorcyclist traffic safety";"insurance pohjola motorcyclist association sign agreement aim improve motorcyclist traffic safety";"insurance pohjola motorcyclist association sign agreement aim improve motorcyclist traffic safety"
548;"HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales .";2;"afx nokian tyre report fourth pretax profit 61 5 mln eur up 48 6 mln back strong sale";"afx nokian tyre report fourth pretax profit eur61.5mn up 48.6mn back strong sale";"afx nokian tyre report fourth pretax profit [MONEY] up [NUMBER] 6mn back strong sale"
549;"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .";2;"kalnapilio tauro grupe kalnapilis tauras denmark royal unibrew raise market share 25 18 percent 23 74 percent beer sale seven month jump 14 5 percent 40 5 million liter";"kalnapilio-tauro grupe kalnapilis-tauras denmark royal unibrew raise market share 25.18pct 23.74pct beer sale 7months jump 14.5pct 40.5mn liter";"kalnapilio-tauro grupe kalnapilis-tauras denmark royal unibrew raise market share [PERCENT] [PERCENT] beer sale 7months jump [PERCENT] [NUMBER] 5mn liter"
550;"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .";2;"kalnapilio tauro grupe kalnapilis tauras denmark royal unibrew raise market share 25 2 percent 23 91 percent beer sale nine month jump 11 4 percent 52 99 million liter";"kalnapilio-tauro grupe kalnapilis-tauras denmark royal unibrew raise market share 25.2pct 23.91pct beer sale 9months jumped 11.4pct 52.99mn liter";"kalnapilio-tauro grupe kalnapilis-tauras denmark royal unibrew raise market share [PERCENT] [PERCENT] beer sale 9months jumped [PERCENT] [NUMBER] 99mn liter"
551;"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M .";2;"marimekko 20 november sign license agreement swedish chain whereby marimekko license popular pattern 1950s 1960s 1970s h";"marimekko 20 november sign license agreement swedish chain whereby marimekko license popular pattern 1950s 1960s 1970s hm";"marimekko [NUMBER] november sign license agreement swedish chain whereby marimekko license popular pattern 1950s 1960s 1970s hm"
552;"More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .";2;"more staff recruit japan far complement network close 50 service location more 20 country worldwide";"more staff recruit japan far complement network close 50 service location more 20 country worldwide";"more staff recruit japan far complement network close [NUMBER] service location more [NUMBER] country worldwide"
553;"Nokian Capacitors ' equipment will be used to raise the capacity and reliability of the Indian grid .";2;"nokian capacitor equipment raise capacity reliability indian grid";"nokian capacitor equipment raise capacity reliability indian grid";"nokian capacitor equipment raise capacity reliability indian grid"
554;"Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .";2;"rautaruukki stock exchange release 3 december 2009 12 noon ruukki construction engineering division improve adjust operation";"rautaruukki stock exchange release 2009-2012-03 12 noon ruukki construction engineering division improve adjust operation";"rautaruukki stock exchange release [DATE] [DATE] [NUMBER] [NUMBER] noon ruukki construction engineering division improve adjust operation"
555;"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .";2;"ruukki romania local arm metal producer ruukki increase capital 900 000 euro 1 14 mln cash contribution report september 19 2006";"ruukki romania local arm metal producer ruukki increase capital eur900000 usd1.14mn cash contribution report 2006-2009-19";"ruukki romania local arm metal producer ruukki increase capital [MONEY] [MONEY] cash contribution report [DATE] [DATE] [NUMBER]"
556;"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .";2;"stx sign preliminary agreement building environmentally friendly new generation cruise ferry viking line manage turku stockholm sweden withviking line abp";"stx sign preliminary agreement building environmentally friendly new generation cruise ferry viking line manage turku stockholm sweden withviking line abp";"stx sign preliminary agreement building environmentally friendly new generation cruise ferry viking line manage turku stockholm sweden withviking line abp"
557;"The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .";2;"estimate net sale 2010 increase considerably 2009 operating result clearly positive";"estimate net sale 2010 increase considerably 2009 operating result clearly positive";"estimate net sale [DATE] increase considerably [DATE] operating result clearly positive"
558;"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .";2;"tower choose add due go operation summer increase total capacity 80 broadsheet 160 tabloid page ability run 32 48 page product side side";"tower choose add due go operation summer increase total capacity 80 broadsheet 160 tabloid page ability run32-and48-page product side side";"tower choose add due go operation summer increase total capacity [NUMBER] broadsheet [NUMBER] tabloid page ability run32-and48-page product side side"
559;"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .";2;"uponor make operating profit eur 151 0 mn up eur 143 7 mn make 2007 record";"uponor make operating profit eur151.0mn up eur143.7mn make 2007 record";"uponor make operating profit [MONEY] up [MONEY] make [DATE] record"
560;"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .";2;"basware stock exchange release august 31 2010 16 25 basware sign large deal international industrial basware deliver invoice automation solution connectivity service international industrial";"basware stock exchange release 2010-2008-31 16:25 basware sign large deal international industrial basware deliver invoice automation solution connectivity service international industrial";"basware stock exchange release [DATE] [DATE] [NUMBER] [DATE] basware sign large deal international industrial basware deliver invoice automation solution connectivity service international industrial"
561;"It estimates the operating profit to further improve from the third quarter .";2;"estimate operating profit improve third";"estimate operating profit improve third";"estimate operating profit improve third"
562;"Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .";2;"kazgiprotsvetmet outotec sign agreement strategic cooperation marketing providing mineral process metallurgical plant related service kazakhstan surrounding country";"kazgiprotsvetmet outotec sign agreement strategic cooperation marketing providing mineral process metallurgical plant related service kazakhstan surrounding country";"kazgiprotsvetmet outotec sign agreement strategic cooperation marketing providing mineral process metallurgical plant related service kazakhstan surrounding country"
563;"Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .";2;"lemcon sign investment cooperation agreement kaluga regional administration last november";"lemcon sign investment cooperation agreement kaluga regional administration last november";"lemcon sign investment cooperation agreement kaluga regional administration last november"
564;"Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .";2;"ruukki forecast 15 20 annual sale growth positive pretax result 2010";"ruukki forecast 15-20pct annual sale growth positive pretax result 2010";"ruukki forecast [NUMBER] [PERCENT] annual sale growth positive pretax result [DATE]"
565;"Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .";2;"sale rise 10 pct 566 mln eur back strong volume favourable currency effect";"sale rise 10pct eur566mn back strong volume favourable currency effect";"sale rise [PERCENT] [MONEY] back strong volume favourable currency effect"
566;"The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .";2;"growth net sale continue favourably middle east africaand asia pacific";"growth net sale continue favourably middle east africaand asia pacific";"growth net sale continue favourably middle east africaand asia pacific"
567;"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .";2;"new agreement expand long establish cooperation involve transfer certain engineering documentation function larox etteplan";"new agreement expand long-established cooperation involve transfer certain engineering documentation function larox etteplan";"new agreement expand long-established cooperation involve transfer certain engineering documentation function larox etteplan"
568;"With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .";2;"appointment kaupthing bank aim co ordinate capital market activity within improve overall service client";"appointment kaupthing bank aim co-ordinate capital market activity within improve overall service client";"appointment kaupthing bank aim co-ordinate capital market activity within improve overall service client"
569;"Cencorp , headquartered in Virkkala , Finland , develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity .";1;"cencorp headquarter virkkala develops supply automation solution electronics semiconductor industry enhance productivity";"cencorp headquarter virkkala develops supply automation solution electronics semiconductor industry enhance productivity";"cencorp headquarter virkkala develops supply automation solution electronics semiconductor industry enhance productivity"
570;"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .";1;"follow increase huhtamaki register share capital eur 358 706 290 00 number share outstanding 105 501 850";"follow increase huhtamaki register share capital eur358706290.00 number share outstanding 105501850";"follow increase huhtamaki register share capital [MONEY] number share outstanding [NUMBER]"
571;"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .";1;"follow increase huhtamaki register share capital eur360 62 number share outstanding 106 063 320";"follow increase huhtamaki register share capital eur360.62m number share outstanding 106063320";"follow increase huhtamaki register share capital [MONEY] [MEASUREMENT] number share outstanding [NUMBER]"
572;"The company has also supplied more than 200 MW of power generating equipment for a number of projects in Papua New Guinea , including 12 engines of the Wartsila 32 type to Lihir Gold .";1;"supply more 200 mw power generate equipment number project papua new guinea 12 engine wartsila 32 type lihir gold";"supply more 200mw power generate equipment number project papua new guinea 12 engine wartsila 32 type lihir gold";"supply more 200mw power generate equipment number project papua new guinea [NUMBER] engine wartsila [NUMBER] type lihir gold"
573;"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .";1;"agreement pfizer fund biotie research activity pde10 phosphodiesterase 10 inhibitor program since start late 2006 sole authority develop discovered compound";"agreement pfizer fund biotie research activity pde10 phosphodiesterase 10 inhibitor program since start late 2006 sole authority develop discovered compound";"agreement pfizer fund biotie research activity pde10 phosphodiesterase [NUMBER] inhibitor program since start late [DATE] sole authority develop discovered compound"
574;"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .";1;"market forward mature may 16 2008 novator direct shareholding amer sport exceed one fifth 1 5 share vote right";"market forward mature 2008-2005-16 novator direct shareholding amer sport e1-fifth1-5 share vote right";"market forward mature [DATE] [DATE] [NUMBER] novator direct shareholding amer sport e1-fifth1- [NUMBER] share vote right"
575;"To prove the efficiency of the China Mobile system , Rod Baber , an English climber , climbed to the Mount Everest summit and successfully made calls .";2;"prove efficiency china mobile system rod baber english climber climb mount everest summit successfully make call";"prove efficiency china mobile system rod baber english climber climb mount everest summit successfully make call";"prove efficiency china mobile system rod baber english climber climb mount everest summit successfully make call"
576;"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said .";1;"test large campaign various customer trial demonstration make lte 800 mhz commercially viable summer siemens head lte business line reino tammela say";"test large campaign various customer trial demonstration make lte 800mhz commercially viable summer siemens head lte business line reino tammela say";"test large campaign various customer trial demonstration make lte 800mhz commercially viable summer siemens head lte business line reino tammela say"
577;"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .";2;"ahlstrom double investment new specialty glassfiber reinforcement plant south carolina u";"ahlstrom double investment new specialty glassfiber reinforcement plant south carolina u";"ahlstrom double investment new specialty glassfiber reinforcement plant south carolina u"
578;"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .";1;"october 22 2008 ssh communication security corp board director information please contact tomi laamanen chairman tel 358 0 400 609 544 distribution nasdaq ltd";"2008-2010-22 ssh communication security corp board director information please contact tomi laamanen chairman tel +3580400609544 distribution nasdaq ltd";"[DATE] [DATE] [NUMBER] ssh communication security corp board director information please contact tomi laamanen chairman tel [PHONE] distribution nasdaq ltd"
579;"Patrizia adds the acquisition to a portfolio already worth EUR3bn .";1;"patrizia add acquisition portfolio already worth eur3bn";"patrizia add acquisition portfolio already worth eur3bn";"patrizia add acquisition portfolio already worth [MONEY]"
580;"Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .";2;"sale rise 300 9 mln eur compare last 276 1 mln eur line 299 mln eur consensus figure";"sale rise eur300.9mn compare last eur276.1mn line eur299mn consensus figure";"sale rise [MONEY] compare last [MONEY] line [MONEY] consensus figure"
581;"The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .";2;"contract sign august papua new guinea lihir gold ltd asx lgl";"contract sign august papua new guinea-based lihir gold ltd asx lgl";"contract sign august papua new guinea-based lihir gold ltd asx lgl"
582;"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .";1;"offer 30 million share aim raise more x20ac 500 million u 640 million expect complete oct 9 outokumpu say";"offer 30mn share aim raise more 500mn ususd640mn expect complete oct9 outokumpu say";"offer 30mn share aim raise more 500mn ususd640mn expect complete oct9 outokumpu say"
583;"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .";2;"extensive co operation bolster sysopen digia position domestic operator market kallioranta add";"extensive co-operation bolster sysopen digia position domestic operator market kallioranta add";"extensive co-operation bolster sysopen digia position domestic operator market kallioranta add"
584;"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .";2;"agreement continue good cooperationand time release capital tie up ourmachinery operation";"agreement continue good cooperationand time release capital tie up ourmachinery operation";"agreement continue good cooperationand time release capital tie up ourmachinery operation"
585;"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .";2;"theodosopoulos say tellabs could value siemens nortel give leading supply status verizon along high growth product";"theodosopoulos say tellabs could value siemens nortel give leading supply status verizon along high-growth product";"theodosopoulos say tellabs could value siemens nortel give leading supply status verizon along high-growth product"
586;"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .";2;"succeed increase market share sell apartment comment mr kari kauniskangas head yit international construction service";"succeed increase market share sell apartment comment mr kari kauniskangas head yit international construction service";"succeed increase market share sell apartment comment mr kari kauniskangas head yit international construction service"
587;"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .";2;"capman partner able far develop business continue focus quality restaurant service customer say christopher wynne ceo papa john russia";"capman partner able far develop business continue focus quality restaurant service customer say christopher wynne ceo papa john russia";"capman partner able far develop business continue focus quality restaurant service customer say christopher wynne ceo papa john russia"
588;"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .";2;"suominen specialise wet wipe nonwovens flexible packaging report net sale eur 44 1 mn second 2010 up eur 43 3 mn second 2009";"suominen specialise wet wipe nonwovens flexible packaging report net sale eur44.1mn second 2010 up eur43.3mn second 2009";"suominen specialise wet wipe nonwovens flexible packaging report net sale [MONEY] second [DATE] up [MONEY] second [DATE]"
589;"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .";2;"telecom software developer tecnomen say december 5 2006 win 3 3 mln 2 5 mln euro order supply expansion charging message system mobile fixed network brasil telecom";"telecom software developer tecnomen say 2006-2012-05 win usd3.3mn eur2.5mn order supply expansion charging message system mobile fixed network brasil telecom";"telecom software developer tecnomen say [DATE] [DATE] [NUMBER] win [MONEY] [MONEY] order supply expansion charging message system mobile fixed network brasil telecom"
590;"Increased trust of our clients in YIT can be seen as apartment sales accelerated .";2;"increase trust client yit see apartment sale accelerate";"increase trust client yit see apartment sale accelerate";"increase trust client yit see apartment sale accelerate"
